subject	course_number	name	section	start_time	end_time	days	professor_name	type
ACC	609	Financial Statement Analysis	1	10:00:00	12:50:00	64	Changling Chen	LEC
ACTSC	221	Introductory Financial Mathematics (Non-Specialist Level)	1	11:30:00	12:20:00	84	Brent Matheson	LEC
ACTSC	231	Introductory Financial Mathematics	1	14:30:00	15:20:00	84	Keith Freeland	LEC
ACTSC	232	Life Contingencies 1	1	13:30:00	14:20:00	84	Emily Kozlowski	LEC
ACTSC	331	Life Contingencies 2	1	10:00:00	11:20:00	80	Emily Kozlowski	LEC
ACTSC	432	Property and Casualty Insurance: Pricing	1	11:30:00	12:50:00	80	Mirabelle Huynh	LEC
ACTSC	445	Quantitative Enterprise Risk Management	1	13:00:00	14:20:00	80	Fan Yang	LEC
ACTSC	631	Financial Mathematics III	1	12:30:00	14:20:00	80	Johnny Li	LEC
ACTSC	634	Quantitative Risk Management	1	09:30:00	11:20:00	80	Fan Yang	LEC
ACTSC	635	Profession Communications in Actuarial Science	1	15:00:00	16:50:00	80	Mirabelle Huynh	LEC

Empty set (0.00 sec)
