subject,course_number,name,description
ACC,604,"Statutory Interpretation","This course will introduce the student to the Canadian standards related to the interpretation of tax legislation and decisions of the courts."
ACC,605,"International Tax","This course will introduce the student to Canadian taxation of international transactions, including the interpretation of tax treaties."
ACC,606,"Business Valuations","This course will provide the fundamentals of business valuation theory and practice. Successful completion of this course can provide students pursuing a Chartered Business Valuator (CBV) designation with advanced standing in the CBV Institute Program of Studies through course exemptions."
ACC,607,"Tax Issues Integration","This course will develop the students' skills in identifying and addressing tax issues, through the use of case studies."
ACC,609,"Financial Statement Analysis","This course introduces fundamental tools of analysis and evaluation that are widely used in a variety of financial careers."
ACC,610,"Public Accounting Practice","This course will enhance students¿ technical and communication skills that they have developed through the application and integration of their knowledge in various types of cases. Students will use these skills extensively in their careers as financial professionals."
ACC,611,"External Reporting with Integration","This course emphasizes financial reporting standards, in conjunction with assurance and tax, and their application through the use of scenarios and simulations."
ACC,621,"System Reliability Principles and Criteria","This course will address the principles of reliable systems including availability, security, integrity and maintainability risks and control practices that can contribute to system reliability. (Course offerings will be internet-based.)"
ACC,622,"Electronic Commerce","This course will address the features and related implementation issues of electronic commerce systems, including order processing, payment, fulfillment, integration with other entity systems and related issues of management, performance measurement and control. (Course offerings will be internet-based.)"
ACC,623,"Business Technology Law","This course will address the legal issues related to information technology, including service agreements, intellectual property rights, taxation and other topics."
ACC,625,"Foundations of Venture Creation","This course provides students with an introduction to the processes involved in moving an idea for a new venture from concept through to launch. The theoretical knowledge and practical skills needed to create a successful entrepreneurial enterprise are developed. Topics include definition and evaluation of entrepreneurial opportunities, business planning, funding strategies and early-stage revenue models, legal issues and intellectual property protection."
ACC,626,"IT Assurance and Computer-Assisted Audit Techniques","This course will address audit considerations and other assurance services in computer-based information systems. (Course offering will be internet-based.)"
ACC,627,"Business Process Enablement and Project Management","This course will cover methods of improving business processes and managing related organizational change. (Course offering will be internet-based.)"
ACC,650,"Assurance and Governance","This course considers the role of risk in the context of assurance and the client's risk management process and addresses the impact of risk on an assurance provider's professional practice."
ACC,662,"Tax Policy","This course examines the economic, political, legal and administrative aspects of selected contemporary issues in Canadian tax policy."
ACC,680,"Systems and Analysis for Management Decision-making","This course reviews and integrates theory, analytical approaches, and processes for those intending to pursue certification as a professional accountant. It provides insight into the problems facing management and executives using cases designed to expose students to real world situations requiring qualitative and quantitative analysis."
ACC,681,"Understanding and Managing Organizational Change","This course is designed for individuals who are interested in a deeper understanding of the process of change from a senior management perspective."
ACC,682,"Measuring and Managing the Value Creation Process","By examining the fundamentals of vlue creation, this course links internal performance systems with performance in financial markets."
ACC,683,"Emerging Issues in Management and Marketing","This course provides students with a review and synthesis of emerging issues in management and marketing in order to prepare students who are pursuing a career in financial management with a business background.  The course will consist of assigned readings, exercises, and term projects that involve evaluation of current business issues, and an examination."
ACC,690,"Topics in Accounting","One or more one-term courses will be offered at different times as announced."
ACC,770,"Finance 1","The course introduces options and other derivative securities in different asset classes. The main focus is on methods of pricing in a multi-period setting, but continuous-time models are also discussed. Topics may include no-arbitrage pricing theory, the fundamental theory of asset pricing, complete and incomplete markets,and pricing of complex financial instruments."
ACC,771,"Finance 2","The course discusses methods and tools for modeling of financial derivatives in the continuous-time setting. Both theory and practical applications are discussed. The first part covers methods of pricing and hedging of derivatives under different assumptions about the dynamics of the underlying economic factors. Topics normally include currency derivatives, American and exotic options, futures contracts, stochastic volatility models and mean-variance hedging. The second part deals with modeling and pricing of interest-rate products. Topics may include short interest rate models, the Heath-Jarrow-Morton Framework, and Libor and swap market models."
ACC,772,"Finance 3","The course will cover selected and advanced topics in quantitative finance and risk management, with a particular focus on current developments. Topics may include robust and Bayesian portfolio optimization, limits to arbitrage, derivatives pricing under model uncertainty, credit risk models, and models of systematic risk."
ACTSC,221,"Introductory Financial Mathematics (Non-Specialist Level)","The theory of rates of interest and discount; annuities and sinking funds with practical applications to mortgage and bond questions. Yield rates. [Offered: F,W,S]"
ACTSC,231,"Introductory Financial Mathematics","The theory of rates of interest and discount including the theoretical continuous case of forces of interest and discount. Annuities and sinking funds, including the continuous case. Practical and theoretical applications primarily to mortgages and bonds. Yield rates. [Offered: F,W,S]"
ACTSC,232,"Life Contingencies 1","The future lifetime random variable: probability and survival functions; force of mortality; complete and curtate expectation of life; Makeham and Gompertz mortality laws. Life tables: characteristics of population and insurance life tables;  selection; fractional age assumptions. Life insurance payments and annuity payments: present value random variables; expected present values; higher moments; actuarial notation. Annual, 1/mthly and continuous cases. Relationships between insurance and annuity functions. Premiums: expense loadings. Present value of future loss random variables and distribution, net and gross cases. Equivalence principle. Portfolio percentile principle. Extra risks. [Note: Students who have met the ELPE requirement must contact their ACTSC advisor. Offered: F,W,S]"
ACTSC,291,"Global Capital Markets","This course offers an overview of global capital markets and asset valuation. Topics may include an overview of financial markets and instruments, time value of money, valuation of financial assets, and financial risk and portfolio management. Where suitable, topics are treated from a mathematical and quantitative perspective"
ACTSC,331,"Life Contingencies 2","Policy Values: Annual, 1/mthly, and continuous cases. Thiele's equation. Modified premium policy values. Multiple state models: applications in life contingencies; assumptions; Kolmogorov equations; premiums, policy values, multiple decrement models. Joint life models: valuation of insurance benefits on joint lives, dependent and independent cases. [Note: Some of the material covered in STAT 333 reinforces some of the concepts covered in this course. Therefore students might find it beneficial to take STAT 333 and ACTSC 331 at the same time. Offered: F,W,S]"
ACTSC,363,"Casualty and Health Insurance Mathematics 1","Models for loss frequency: Poisson, negative binomial, binomial, (a, b, 0) class; models for loss severity including exponential, gamma, lognormal, Pareto, and Weibull; impact of policy adjustments on loss frequency and severity; estimation; compound Poisson models; aggregate claims models: properties, recursion, simulation, and pricing; deterministic reserving methods: chain ladder and Bornhuetter Ferguson; introduction to reinsurance. [Offered: F,W]"
ACTSC,371,"Introduction to Investments","Introduction to capital markets. Analysis of equity and fixed income investments. Introduction to derivative securities including futures, forwards, swaps, and options. [Offered: F,W,S]"
ACTSC,372,"Investment Science and Corporate Finance","Introduction to financial markets. Different return and risk measures. Investment rules and capital budgeting. Rigorous derivations of Markowitz portfolio optimization and its application in investment decisions. Capital Asset Pricing Model (CAPM) and Arbitrage Pricing Theory (APT). Weighted average cost of capital (WACC) and efficient market hypothesis (EMH). Long-term financing, capital structure (MM propositions), and dividend policies. Introduction to options, forwards, and swaps. [Offered: F,W,S]"
ACTSC,391,"Corporate Finance","This is the first in a two-course sequence that deals with corporate financial decision making. Topics may include capital budgeting, cost of capital, security issuance, capital structure, payout policy and dividends, and short-term finance. Where suitable, topics are treated from a mathematical and quantitative perspective."
ACTSC,431,"Casualty and Health Insurance Mathematics 2","Advanced models for loss frequency: (a, b, 1) class, mixed and compound Poisson models; concept of infinite divisibility; advanced models for loss severity: combination of exponentials, mixed Erlang, extreme value distributions; measure of distribution tails; impact of policy adjustments on loss frequency and severity; estimation; advanced aggregate claims models: properties, analytic results, (double) recursion, and pricing; risk measures. Other topics which may be covered include aggregate claim models with dependence, time-dependent claims, and ruin theory. [Offered: F,S]"
ACTSC,432,"Property and Casualty Insurance: Pricing","Introduction to ratemaking; rating factors; insurance pricing using generalized linear models; experience rating; credibility theory: Bayesian, Buhlmann, and Buhlmann-Straub; empirical Bayes parameter estimation. [Offered: F,S]"
ACTSC,445,"Quantitative Enterprise Risk Management","This course introduces enterprise risk management, with a focus on quantitative analysis and economic capital. Risk classification is first discussed with an emphasis on the types of risk most suited to quantitative methods. Risk measures, such as Value-at-Risk (VaR) and Conditional Tail Expectation (CTE or TVaR), are then introduced and their use by firms and regulators to determine risk capital requirements is further highlighted. Different approaches are considered for developing loss distributions, including frequency/severity analysis and extreme value theory. Copulas and economic scenario generators are used to aggregate dependent risks. Different strategies for mitigating or transferring risk are reviewed. Additional topics that may be covered include credit risk, capital allocation, and regulation of financial institutions. [Offered: F,S]"
ACTSC,446,"Mathematics of Financial Markets","This course covers mathematical techniques for no-arbitrage pricing and hedging financial derivatives. Topics to be covered can be classified into three broad areas: derivatives markets (options; forwards and futures; other derivatives; put-call parity), discrete-time financial models (binomial models; general multi-period models; Fundamental Theorems of Asset Pricing; risk-neutral probability), and continuous-time financial models (basic stochastic calculus and Itô's lemma; Black-Scholes model; interest rate models and bond pricing). [Offered: F,W]"
ACTSC,453,"Basic Pension Mathematics","Theory and practice of pension plan funding. Assumptions, basic actuarial functions, and population theory applied to private pensions. Concepts of normal costs, supplemental liability, unfunded liability arising from individual accrued benefit, and projected benefit cost methods."
ACTSC,454,"Longevity and Mortality Using Predictive Analytics","Kaplan-Meier and Nelson-Aalen estimators for survival functions. Kernel density models. Validation of mortality tables. Estimators for Markov multiple state transition intensities. Longevity models, including deterministic and stochastic models such as Lee-Carter and Cairns-Blake-Dowd. [Offered: W]"
ACTSC,455,"Life Contingencies 3","Profit testing for traditional and non-traditional life insurance. Pricing and valuation of embedded options in life insurance products. Defined benefit and defined contribution pension plan design. Theory and practice of unit credit methods for pension plan funding and valuation for final average salary, career average earnings, and career average revalued earnings pension plans; post-retirement health benefits."
ACTSC,463,"Introduction to Property and Casualty Loss Reserving","An introduction to property/casualty loss reserving techniques. Claim payment process. Chain-ladder methods. Stochastic models."
ACTSC,471,"Corporate Financial Decision Making","This is the second course of a two-course sequence that deals with corporate financial decision making. The course builds on the theory of financial management using cases to illustrate a variety of corporate financial decisions. Where suitable, topics are treated from a mathematical and quantitative perspective."
