subject,course_number,pre_requisite_subject,pre_requisite_number
ACTSC,372,ACTSC,231
MATBUS,471,ACTSC,231
ACTSC,331,ACTSC,232
ACTSC,453,ACTSC,331
ACTSC,454,ACTSC,331
ACTSC,455,ACTSC,331
ACTSC,431,ACTSC,363
ACTSC,432,ACTSC,363
ACTSC,463,ACTSC,363
AE,125,AE,100
AE,105,AE,104
AE,204,AE,105
AE,200,AE,125
AE,225,AE,200
AE,315,AE,200
AE,205,AE,204
AE,303,AE,205
AE,223,AE,221
CIVE,422,AE,223
AE,300,AE,225
AE,450,AE,279
AE,405,AE,280
AE,301,AE,300
AE,310,AE,303
CIVE,413,AE,310
CIVE,414,AE,310
AFM,102,AFM,101
AFM,202,AFM,101
AFM,203,AFM,101
AFM,211,AFM,101
AFM,212,AFM,101
AFM,291,AFM,101
COMM,321,AFM,101
MATBUS,371,AFM,101
AFM,241,AFM,102
AFM,382,AFM,102
COMM,431,AFM,102
AFM,113,AFM,112
AFM,204,AFM,121
AFM,205,AFM,121
AFM,273,AFM,121
AFM,333,AFM,131
SCBUS,122,AFM,131
AFM,182,AFM,191
AFM,206,AFM,191
AFM,208,AFM,191
AFM,276,AFM,191
AFM,311,AFM,211
AFM,345,AFM,244
AFM,346,AFM,244
AFM,427,AFM,244
AFM,444,AFM,244
AFM,445,AFM,244
AFM,446,AFM,244
AFM,447,AFM,244
ACTSC,391,AFM,272
AFM,275,AFM,272
AFM,322,AFM,272
AFM,323,AFM,272
AFM,324,AFM,272
AFM,422,AFM,272
AFM,425,AFM,272
SFM,310,AFM,272
SFM,412,AFM,272
AFM,274,AFM,273
AFM,321,AFM,274
AFM,373,AFM,274
AFM,377,AFM,274
AFM,473,AFM,274
AFM,477,AFM,274
AFM,478,AFM,274
ACTSC,471,AFM,275
AFM,476,AFM,275
AFM,391,AFM,291
AFM,451,AFM,291
AFM,485,AFM,291
AFM,362,AFM,321
AFM,423,AFM,323
AFM,347,AFM,341
AFM,363,AFM,362
AFM,462,AFM,362
AFM,463,AFM,362
AFM,470,AFM,373
AFM,484,AFM,382
AFM,401,AFM,391
AFM,491,AFM,391
AFM,434,AFM,433
AFM,482,AFM,433
AMATH,353,AMATH,231
AMATH,361,AMATH,231
AMATH,373,AMATH,231
CS,475,AMATH,242
AMATH,351,AMATH,250
AMATH,451,AMATH,351
AMATH,453,AMATH,351
AMATH,473,AMATH,373
PHYS,454,AMATH,373
AMATH,474,AMATH,473
AMATH,876,AMATH,473
AMATH,877,AMATH,473
PHYS,484,AMATH,473
AMATH,872,AMATH,673
AMATH,873,AMATH,673
ANTH,309,ANTH,201
ANTH,320,ANTH,201
ANTH,321,ANTH,201
ANTH,322,ANTH,201
CLAS,321,ANTH,201
ANTH,300,ANTH,202
ANTH,303,ANTH,202
ANTH,330,ANTH,202
ANTH,331,ANTH,202
ANTH,347,ANTH,202
ANTH,350,ANTH,202
ANTH,381,ANTH,202
ANTH,382,ANTH,202
ANTH,305,ANTH,204
ANTH,365,ANTH,204
ANTH,377,ANTH,204
ARBUS,301,ARBUS,101
ARBUS,300,ARBUS,200
ARBUS,400,ARBUS,300
ARCH,212,ARCH,113
ARCH,314,ARCH,113
ARCH,677,ARCH,113
ARCH,678,ARCH,113
ARCH,143,ARCH,142
ARCH,246,ARCH,143
ARCH,173,ARCH,172
ARCH,364,ARCH,173
ARCH,248,ARCH,246
ARCH,644,ARCH,246
ARCH,645,ARCH,246
ARCH,277,ARCH,260
ARCH,624,ARCH,327
ARCH,442,ARCH,342
AVIA,310,AVIA,100
BIOL,310,BIOL,110
BIOL,370,BIOL,110
BIOL,371,BIOL,110
BIOL,414,BIOL,110
BIOL,490A,BIOL,110
BIOL,490B,BIOL,110
BIOL,490C,BIOL,110
BIOL,490D,BIOL,110
BIOL,498A,BIOL,110
BIOL,498B,BIOL,110
BIOL,321,BIOL,120
BIOL,323,BIOL,120
BIOL,426,BIOL,120
BIOL,433,BIOL,120
BIOL,201,BIOL,130
BIOL,266,BIOL,130
BIOL,273,BIOL,130
BIOL,302,BIOL,130
BIOL,303,BIOL,130
BIOL,308,BIOL,130
BIOL,309,BIOL,130
BIOL,355,BIOL,130
BIOL,484,BIOL,130
BIOL,486,BIOL,130
GERON,355,BIOL,130
HLTH,340,BIOL,130
HLTH,341,BIOL,130
KIN,406,BIOL,130
BIOL,312,BIOL,150
BIOL,350,BIOL,150
BIOL,351,BIOL,150
BIOL,450,BIOL,150
BIOL,451,BIOL,150
BIOL,452,BIOL,150
BIOL,455,BIOL,150
BIOL,457,BIOL,150
BIOL,458,BIOL,150
BIOL,485,BIOL,150
BIOL,489,BIOL,150
BIOL,365,BIOL,239
BIOL,469,BIOL,239
BIOL,449,BIOL,241
BIOL,475,BIOL,241
BIOL,465,BIOL,266
BIOL,373,BIOL,273
BIOL,472,BIOL,273
BIOL,473,BIOL,273
GERON,310,BIOL,273
HLTH,310,BIOL,273
HLTH,407,BIOL,273
KIN,202,BIOL,273
KIN,255,BIOL,273
KIN,308,BIOL,273
KIN,310,BIOL,273
KIN,312,BIOL,273
KIN,404,BIOL,273
KIN,407,BIOL,273
KIN,415,BIOL,273
KIN,416,BIOL,273
KIN,418,BIOL,273
BIOL,403,BIOL,303
BIOL,331,BIOL,308
BIOL,441,BIOL,308
BIOL,428,BIOL,309
BIOL,432,BIOL,342
BIOL,483,BIOL,342
BIOL,456,BIOL,350
BIOL,461,BIOL,361
BLKST,210,BLKST,101
SYDE,322,BME,122
SYDE,334,BME,213
SYDE,556,BME,252
SYDE,575,BME,252
CFM,301,CFM,101
CFM,401,CFM,301
CIVE,375,CHE,102
ENVE,275,CHE,102
ENVE,375,CHE,102
ME,115,CHE,102
ME,235,CHE,102
CHE,543,CHE,541
CHEM,123,CHEM,120
CHEM,140,CHEM,120
CHEM,212,CHEM,120
CHEM,266,CHEM,120
CHEM,404,CHEM,120
KIN,217,CHEM,120
CHEM,125,CHEM,121
CHEM,220,CHEM,123
CHEM,254,CHEM,123
CHEM,264,CHEM,123
CHEM,357,CHEM,123
EARTH,221,CHEM,123
MNS,211,CHEM,123
CHEM,301,CHEM,201
CHEM,310,CHEM,212
CHEM,313,CHEM,212
CHEM,221,CHEM,220
CHEM,323,CHEM,221
BIOL,439,CHEM,233
CHEM,331,CHEM,233
CHEM,339,CHEM,233
CHEM,381,CHEM,233
CHEM,350,CHEM,254
CHEM,370,CHEM,254
MNS,322,CHEM,254
CHEM,233,CHEM,264
CHEM,265,CHEM,264
CHEM,360,CHEM,265
CHEM,363,CHEM,265
CHEM,464,CHEM,265
CHEM,430,CHEM,331
CHEM,432,CHEM,331
CHEM,433,CHEM,331
CHEM,479,CHEM,339
CHEM,765,CHEM,764
CIVE,105,CIVE,104
AE,280,CIVE,105
CIVE,204,CIVE,105
CIVE,280,CIVE,105
CIVE,382,CIVE,105
CIVE,460,CIVE,105
ENVE,280,CIVE,105
ENVE,382,CIVE,105
GEOE,280,CIVE,105
CIVE,353,CIVE,153
CIVE,205,CIVE,204
CIVE,303,CIVE,205
CIVE,306,CIVE,205
CIVE,310,CIVE,205
CIVE,222,CIVE,221
CIVE,230,CIVE,224
CIVE,343,CIVE,224
CIVE,440,CIVE,241
CIVE,354,CIVE,353
CIVE,542,CIVE,353
CIVE,554,CIVE,353
GEOE,554,CIVE,353
CIVE,583,CIVE,382
ENVE,383,CIVE,382
CLAS,331,CLAS,231
CLAS,341,CLAS,241
FINE,341,CLAS,241
FINE,342,CLAS,241
CLAS,342,CLAS,242
CLAS,351,CLAS,251
CLAS,352,CLAS,252
CO,370,CO,250
CO,450,CO,255
CO,452,CO,255
CO,430,CO,330
CO,440,CO,342
CO,442,CO,342
CO,446,CO,342
PHYS,468,CO,481
COMM,421,COMM,321
COMM,433,COMM,321
CROAT,102,CROAT,101
CS,106,CS,105
CS,116,CS,115
CS,138,CS,137
CS,146,CS,145
CS,246,CS,146
CS,487,CS,231
